api: 2024-02-02 20:14:54,953 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:14:54,965 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:14:54,976 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:15:27,231 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:15:27,242 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:15:27,253 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:15:27,264 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:15:30,287 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:16:57,333 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:17:15,560 - ERROR - bdd.py - Line: 62 - Echec de la connexion à la base de donnée Onche2 : 1049 (42000): Unknown database 'Onche2'
api: 2024-02-02 20:19:24,035 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:19:24,046 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:19:24,057 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:19:24,069 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 20:19:26,965 - ERROR - bdd.py - Line: 375 - 1046 (3D000): No database selected
api: 2024-02-02 20:19:26,965 - ERROR - main.py - Line: 28 - Erreur id 0: 1046 (3D000): No database selected
api: 2024-02-02 21:51:09,798 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 21:51:09,809 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 21:51:09,821 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 21:51:09,832 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 21:51:13,285 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 21:52:10,985 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 21:56:01,318 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 21:56:01,330 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 21:56:01,342 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 21:56:01,354 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 22:02:39,055 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 22:02:39,067 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 22:02:39,080 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 22:02:39,093 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 22:03:25,123 - INFO - main.py - Line: 26 - Fonction debug
api: 2024-02-02 22:33:57,704 - ERROR - bdd.py - Line: 62 - Echec de la connexion à la base de donnée Onchev2 : 1049 (42000): Unknown database 'Onchev2'
